,percent_change
2008-01-14,72.22222222222221
2008-01-15,63.89496717724289
2008-01-16,31.625183016105417
2008-01-17,22.246376811594203
2008-01-18,64.52328159645234
2008-01-21,10.719530102790015
2008-01-22,1.7454545454545456
2008-01-23,90.7703488372093
2008-01-24,86.08695652173914
2008-01-25,46.87045123726347
2008-01-28,5.454545454545454
2008-01-29,74.8014440433213
2008-01-30,60.83815028901734
2008-01-31,10.472727272727273
2008-02-01,9.53757225433526
2008-02-04,99.85507246376811
2008-02-05,49.395017793594306
2008-02-13,36.01997146932953
2008-02-14,92.91338582677166
2008-02-15,31.07913669064748
2008-02-18,96.59173313995649
2008-02-19,87.41007194244604
2008-02-20,27.870036101083034
2008-02-21,65.80459770114942
2008-02-22,18.85424220449601
2008-02-25,11.69208424110385
2008-02-26,59.251259899208065
2008-02-27,93.7007874015748
2008-02-28,49.17680744452398
2008-02-29,80.63354931605473
2008-03-03,96.56897784131523
2008-03-04,32.21667854597292
2008-03-05,50.250896057347674
2008-03-06,56.774193548387096
2008-03-07,19.470293486041516
2008-03-10,9.75609756097561
2008-03-11,72.70773638968481
2008-03-12,12.933526011560694
2008-03-13,11.74785100286533
2008-03-14,40.40114613180516
2008-03-17,2.382671480144404
2008-03-18,2.087832973362131
2008-03-19,91.26074498567334
2008-03-20,94.07086044830079
2008-03-21,69.94219653179191
2008-03-24,17.80821917808219
2008-03-25,73.90366642703091
2008-03-26,41.66064981949458
2008-03-27,5.7430007178750895
2008-03-28,88.71906841339155
2008-03-31,8.147080028839222
2008-04-01,1.7142857142857144
2008-04-02,7.881417208966016
2008-04-03,81.74659985683607
2008-04-07,99.71305595408894
2008-04-08,85.52821997105644
2008-04-09,6.195965417867435
2008-04-10,87.05712219812003
2008-04-11,81.61499639509732
2008-04-14,3.7356321839080464
2008-04-15,84.67100506146059
2008-04-16,15.744069015097054
2008-04-17,9.045226130653267
2008-04-18,6.504065040650407
2008-04-21,51.3909224011713
2008-04-22,29.1970802919708
2008-04-23,97.97541576283442
2008-04-24,99.85580389329488
2008-04-25,54.27319211102994
2008-04-28,36.02347762289068
2008-04-29,70.33773861967695
2008-04-30,97.6928622927181
2008-05-05,94.82758620689656
2008-05-06,36.38328530259366
2008-05-07,10.300429184549357
2008-05-08,94.8339483394834
2008-05-09,43.221574344023324
2008-05-12,73.85952208544533
2008-05-13,43.22097378277154
2008-05-14,82.4891461649783
2008-05-15,32.76374442793462
2008-05-16,25.223880597014926
2008-05-19,45.355587808417994
2008-05-20,4.502541757443718
2008-05-21,83.67931281317108
2008-05-22,30.703012912482063
2008-05-23,32.449856733524356
2008-05-26,14.613180515759314
2008-05-27,65.01064584811922
2008-05-28,92.64599855803894
2008-05-29,13.129879347054649
2008-05-30,56.182987848463185
2008-06-02,63.98872445384073
2008-06-03,39.816772374911906
2008-06-04,21.69943820224719
2008-06-05,37.420718816067655
2008-06-06,43.241330502477
2008-06-10,1.7568517217146873
2008-06-11,21.1484593837535
2008-06-13,8.327501749475157
2008-06-16,23.81625441696113
2008-06-17,11.188811188811188
2008-06-18,96.48135116115412
2008-06-19,1.8789144050104383
2008-06-20,66.57243816254417
2008-06-23,23.18941504178273
2008-06-24,90.19337016574586
2008-06-25,99.16724496877168
2008-06-26,72.3314606741573
2008-06-27,3.4801136363636362
2008-06-30,56.69291338582677
2008-07-01,18.848526387936943
2008-07-02,83.45864661654136
2008-07-03,97.54768392370572
2008-07-04,40.78857919782461
2008-07-07,99.31506849315068
2008-07-08,71.98364008179959
2008-07-09,93.39237057220708
2008-07-10,18.132242672119972
2008-07-11,29.911019849418206
2008-07-14,85.06849315068493
2008-07-15,14.452054794520548
2008-07-16,7.923497267759563
2008-07-17,31.647300068352703
2008-07-18,90.52488070892979
2008-07-21,99.72752043596729
2008-07-22,52.54237288135594
2008-07-23,28.90995260663507
2008-07-24,97.22033898305085
2008-07-25,31.100478468899524
2008-07-28,79.26330150068213
2008-07-29,20.977596741344197
2008-07-30,42.66304347826087
2008-07-31,7.702794819359236
2008-08-01,76.10020311442113
2008-08-04,14.767363452461227
2008-08-05,13.143631436314362
2008-08-06,54.32266848196051
2008-08-07,61.54366960054164
2008-08-08,2.0903573836817264
2008-08-11,2.3680649526387008
2008-08-12,35.294117647058826
2008-08-13,44.20485175202156
2008-08-14,56.53638814016172
2008-08-15,43.169398907103826
2008-08-18,1.9768234492160874
2008-08-19,76.7003367003367
2008-08-20,99.93224932249322
2008-08-21,13.909520594193111
2008-08-22,20.95687331536388
2008-08-25,46.49122807017544
2008-08-26,5.910006715916722
2008-08-27,50.236008091706
2008-08-28,48.25033647375505
2008-08-29,96.31367292225201
2008-09-01,14.151576123407109
2008-09-02,63.11200536552649
2008-09-03,45.44846050870147
2008-09-04,68.22742474916387
2008-09-05,5.064145847400405
2008-09-08,7.93010752688172
2008-09-09,71.50501672240802
2008-09-10,63.45381526104418
2008-09-11,13.779264214046824
2008-09-12,54.52091767881242
2008-09-16,19.76980365605958
2008-09-17,25.973154362416107
2008-09-18,14.505347593582888
2008-09-19,99.86568166554734
2008-09-22,94.84259879437374
2008-09-23,6.149732620320856
2008-09-24,75.60160427807486
2008-09-25,92.3956931359354
2008-09-26,43.86440677966102
2008-10-06,12.62660364618501
2008-10-07,40.174966352624494
2008-10-08,16.23989218328841
2008-10-09,24.848484848484848
2008-10-10,4.13279132791328
2008-10-13,76.72530446549392
2008-10-14,13.002680965147453
2008-10-16,7.142857142857142
2008-10-17,75.67024128686327
2008-10-20,93.64973262032086
2008-10-21,40.93333333333333
2008-10-22,20.56262558606832
2008-10-23,63.91129032258065
2008-10-24,23.446893787575153
2008-10-27,3.0913978494623655
2008-10-28,82.9105473965287
2008-10-29,13.043478260869565
2008-10-30,70.50938337801608
2008-10-31,21.71885409726849
2008-11-03,29.144385026737968
2008-11-04,26.43142476697736
2008-11-05,96.92101740294511
2008-11-06,20.615796519410978
2008-11-07,84.66175485599464
2008-11-10,99.59704499664204
2008-11-11,29.905913978494624
2008-11-12,92.0858484238766
2008-11-13,98.92761394101876
2008-11-14,99.32386747802569
2008-11-17,97.55268524813052
2008-11-18,6.220419202163624
2008-11-19,99.26075268817203
2008-11-20,48.582995951417004
2008-11-21,25.43978349120433
2008-11-24,12.188552188552189
2008-11-25,35.8974358974359
2008-11-26,58.748317631224765
2008-11-27,76.33175994605529
2008-11-28,29.979605710401085
2008-12-01,95.67567567567568
2008-12-02,72.63581488933602
2008-12-03,99.18973666441595
2008-12-04,39.19463087248322
2008-12-05,89.91935483870968
2008-12-08,99.66307277628033
2008-12-09,21.759570181329753
2008-12-10,92.71390374331551
2008-12-11,15.208613728129205
2008-12-12,8.378378378378379
2008-12-15,76.46662171274443
2008-12-16,74.09395973154362
2008-12-17,70.6
2008-12-18,84.04825737265415
2008-12-19,63.47826086956522
2008-12-22,51.07671601615073
2008-12-23,4.4607190412782955
2008-12-24,20.253164556962027
2008-12-25,42.64607118871726
2008-12-26,39.148073022312374
2008-12-29,37.31859018659296
2008-12-30,35.56597454789016
2008-12-31,23.86058981233244
2009-01-05,96.46430953969313
2009-01-06,96.01593625498009
2009-01-07,51.55320555188367
2009-01-08,19.801324503311257
2009-01-09,93.421926910299
2009-01-12,68.55429713524317
2009-01-13,12.5
2009-01-14,98.53820598006644
2009-01-15,60.36217303822937
2009-01-16,53.86151797603196
2009-01-19,42.34828496042216
2009-01-20,65.29528865295289
2009-01-21,37.16755319148936
2009-01-22,77.04047777040478
2009-01-23,32.14521452145215
2009-02-02,93.21475625823452
2009-02-03,94.3745863666446
2009-02-04,85.50628722700199
2009-02-05,25.844930417495032
2009-02-06,99.93364299933643
2009-02-09,94.56593770709078
2009-02-10,82.00531208499336
2009-02-11,42.486702127659576
2009-02-12,60.704787234042556
2009-02-13,96.48774022531478
2009-02-16,73.40848806366049
2009-02-17,13.245033112582782
2009-02-18,12.408759124087592
2009-02-19,81.10964332892999
2009-02-20,94.42601194426013
2009-02-23,97.67750497677505
2009-02-25,53.35102853351028
2009-02-26,4.258150365934797
2009-03-02,84.20703384207033
2009-03-03,51.751487111698616
2009-03-04,99.80237154150198
2009-03-05,59.63060686015831
2009-03-06,35.01997336884155
2009-03-09,12.034574468085106
2009-03-10,92.02127659574468
2009-03-11,36.423841059602644
2009-03-12,47.9734219269103
2009-03-13,29.177718832891248
2009-03-16,77.28181212524984
2009-03-17,99.4726433750824
2009-03-18,68.02403204272363
2009-03-19,92.65873015873017
2009-03-20,32.484929671801744
2009-03-23,86.26005361930295
2009-03-24,57.97872340425532
2009-03-25,17.745163442294864
2009-03-26,92.71877087508351
2009-03-27,58.361316319677634
2009-03-30,54.63709677419355
2009-03-31,54.39302481556003
2009-04-01,78.08127914723516
2009-04-02,43.07692307692308
2009-04-03,31.754503002001332
2009-04-07,73.24414715719062
