updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600493,凤竹纺织,纺织服装,申万一级行业
2021-11-15,sh.600495,晋西车轴,机械设备,申万一级行业
2021-11-15,sh.600496,精工钢构,建筑装饰,申万一级行业
2021-11-15,sh.600497,驰宏锌锗,有色金属,申万一级行业
2021-11-15,sh.600498,烽火通信,通信,申万一级行业
2021-11-15,sh.600499,科达制造,机械设备,申万一级行业
2021-11-15,sh.600500,中化国际,化工,申万一级行业
2021-11-15,sh.600501,航天晨光,机械设备,申万一级行业
2021-11-15,sh.600502,安徽建工,建筑装饰,申万一级行业
2021-11-15,sh.600503,华丽家族,房地产,申万一级行业
2021-11-15,sh.600505,西昌电力,公用事业,申万一级行业
2021-11-15,sh.600506,*ST香梨,农林牧渔,申万一级行业
2021-11-15,sh.600507,方大特钢,钢铁,申万一级行业
2021-11-15,sh.600508,上海能源,采掘,申万一级行业
2021-11-15,sh.600509,天富能源,公用事业,申万一级行业
2021-11-15,sh.600510,黑牡丹,房地产,申万一级行业
2021-11-15,sh.600511,国药股份,医药生物,申万一级行业
2021-11-15,sh.600512,腾达建设,建筑装饰,申万一级行业
2021-11-15,sh.600513,联环药业,医药生物,申万一级行业
2021-11-15,sh.600515,*ST基础,房地产,申万一级行业
2021-11-15,sh.600516,方大炭素,有色金属,申万一级行业
2021-11-15,sh.600517,国网英大,电气设备,申万一级行业
2021-11-15,sh.600518,*ST康美,医药生物,申万一级行业
2021-11-15,sh.600519,贵州茅台,食品饮料,申万一级行业
2021-11-15,sh.600520,文一科技,机械设备,申万一级行业
2021-11-15,sh.600521,华海药业,医药生物,申万一级行业
2021-11-15,sh.600522,中天科技,通信,申万一级行业
2021-11-15,sh.600523,贵航股份,汽车,申万一级行业
2021-11-15,sh.600525,长园集团,电气设备,申万一级行业
2021-11-15,sh.600526,菲达环保,机械设备,申万一级行业
2021-11-15,sh.600527,江南高纤,化工,申万一级行业
2021-11-15,sh.600528,中铁工业,机械设备,申万一级行业
2021-11-15,sh.600529,山东药玻,医药生物,申万一级行业
2021-11-15,sh.600530,交大昂立,医药生物,申万一级行业
2021-11-15,sh.600531,豫光金铅,有色金属,申万一级行业
2021-11-15,sh.600532,未来股份,采掘,申万一级行业
2021-11-15,sh.600533,栖霞建设,房地产,申万一级行业
2021-11-15,sh.600535,天士力,医药生物,申万一级行业
2021-11-15,sh.600536,中国软件,计算机,申万一级行业
2021-11-15,sh.600537,亿晶光电,电气设备,申万一级行业
